query,case,system,run,seconds,rows,min_votes,note
q1_shortest_path,q1_distanza_1,postgresql,3,0.009073,1,100,
q1_shortest_path,q1_distanza_1,neo4j,3,0.001011,1,100,
q1_shortest_path,q1_distanza_1,postgresql,4,0.008450,1,100,
q1_shortest_path,q1_distanza_1,neo4j,4,0.000594,1,100,
q1_shortest_path,q1_distanza_1,postgresql,5,0.008083,1,100,
q1_shortest_path,q1_distanza_1,neo4j,5,0.000891,1,100,
q1_shortest_path,q1_distanza_1,postgresql,6,0.008610,1,100,
q1_shortest_path,q1_distanza_1,neo4j,6,0.000780,1,100,
q1_shortest_path,q1_distanza_1,postgresql,7,0.008196,1,100,
q1_shortest_path,q1_distanza_1,neo4j,7,0.000999,1,100,
q1_shortest_path,q1_distanza_1,postgresql,8,0.008250,1,100,
q1_shortest_path,q1_distanza_1,neo4j,8,0.000604,1,100,
q1_shortest_path,q1_distanza_1,postgresql,9,0.007960,1,100,
q1_shortest_path,q1_distanza_1,neo4j,9,0.001423,1,100,
q1_shortest_path,q1_distanza_1,postgresql,10,0.008519,1,100,
q1_shortest_path,q1_distanza_1,neo4j,10,0.000680,1,100,
q1_shortest_path,q1_distanza_2,postgresql,1,0.037998,1,100,
q1_shortest_path,q1_distanza_2,neo4j,1,0.001853,1,100,
q1_shortest_path,q1_distanza_2,postgresql,2,0.037021,1,100,
q1_shortest_path,q1_distanza_2,neo4j,2,0.001478,1,100,
q1_shortest_path,q1_distanza_2,postgresql,3,0.036074,1,100,
q1_shortest_path,q1_distanza_2,neo4j,3,0.001905,1,100,
q1_shortest_path,q1_distanza_2,postgresql,4,0.036725,1,100,
q1_shortest_path,q1_distanza_2,neo4j,4,0.001494,1,100,
q1_shortest_path,q1_distanza_2,postgresql,5,0.036865,1,100,
q1_shortest_path,q1_distanza_2,neo4j,5,0.001888,1,100,
q1_shortest_path,q1_distanza_2,postgresql,6,0.038731,1,100,
q1_shortest_path,q1_distanza_2,neo4j,6,0.001424,1,100,
q1_shortest_path,q1_distanza_2,postgresql,7,0.036920,1,100,
